Version, File Name, NR, NAuth, Loc Added, Avg Loc Added, Max Loc Added, Churn, Avg Churn, Max Churn, Chg Set Size, Avg Chg Set, Max Chg Set, Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,2.0,2.0,82.0,41.0,78.0,78.0,39.0,78.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,3.0,2.0,88.0,29.333334,64.0,85.0,28.333334,64.0,387.0,129.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,2.0,2.0,61.0,30.5,57.0,57.0,28.5,57.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,3.0,2.0,115.0,38.333332,104.0,108.0,36.0,104.0,387.0,129.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,5.0,3.0,212.0,42.4,187.0,201.0,40.2,187.0,481.0,96.2,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,3.0,2.0,86.0,28.666666,75.0,80.0,26.666666,75.0,387.0,129.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,1.0,1.0,28.0,28.0,28.0,0.0,0.0,28.0,206.0,206.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,3.0,2.0,59.0,19.666666,52.0,57.0,19.0,52.0,387.0,129.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,5.0,3.0,524.0,104.8,428.0,446.0,89.2,428.0,512.0,102.4,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,2.0,2.0,134.0,67.0,104.0,104.0,52.0,104.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,2.0,2.0,36.0,18.0,35.0,35.0,17.5,35.0,239.0,119.5,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,2.0,2.0,99.0,49.5,98.0,98.0,49.0,98.0,376.0,188.0,206.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,3.0,3.0,94.0,31.333334,78.0,79.0,26.333334,78.0,468.0,156.0,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,2.0,2.0,60.0,30.0,57.0,58.0,29.0,57.0,376.0,188.0,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java,1.0,1.0,51.0,51.0,51.0,0.0,0.0,51.0,206.0,206.0,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java,1.0,1.0,57.0,57.0,57.0,0.0,0.0,57.0,206.0,206.0,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java,3.0,3.0,250.0,83.333336,230.0,230.0,76.666664,230.0,403.0,134.33333,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java,6.0,3.0,169.0,28.166666,133.0,154.0,25.666666,133.0,518.0,86.333336,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java,6.0,3.0,279.0,46.5,221.0,251.0,41.833332,221.0,532.0,88.666664,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java,3.0,3.0,65.0,21.666666,61.0,63.0,21.0,61.0,331.0,110.333336,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java,4.0,2.0,134.0,33.5,128.0,130.0,32.5,128.0,296.0,74.0,170.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java,4.0,2.0,77.0,19.25,65.0,74.0,18.5,65.0,420.0,105.0,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java,1.0,1.0,116.0,116.0,116.0,0.0,0.0,116.0,206.0,206.0,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java,2.0,2.0,177.0,88.5,166.0,166.0,83.0,166.0,376.0,188.0,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,6.0,3.0,786.0,131.0,692.0,726.0,121.0,692.0,446.0,74.333336,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java,4.0,3.0,273.0,68.25,172.0,265.0,66.25,172.0,407.0,101.75,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java,4.0,3.0,278.0,69.5,260.0,261.0,65.25,260.0,436.0,109.0,206.0,NO
1,hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java,1.0,1.0,170.0,170.0,170.0,0.0,0.0,170.0,206.0,206.0,206.0,NO
